Date,Competitor,Title,Content Type,Link URL,Relevance,Impact,Effort,Weighted_Score
2026-02-19,Benedict Evans,How will OpenAI compete?,Blog,https://www.ben-evans.com/benedictevans/2026/2/19/how-will-openai-compete-nkg2x,0,0,8,1.6
2025-11-23,Benedict Evans,"AI, networks and Mechanical Turks",Blog,https://www.ben-evans.com/benedictevans/2025/11/23/ai-networks-and-mechanical-turks,0,0,8,1.6
2025-06-09,Benedict Evans,AI metrics,Blog,https://www.ben-evans.com/benedictevans/2025/6/9/generative-ais-metrics-question,0,0,8,1.6
2024-07-09,Benedict Evans,The AI summer,Blog,https://www.ben-evans.com/benedictevans/2024/7/9/the-ai-summer,0,0,8,1.6
2026-03-10,Beehiiv,Read the State of Newsletters report,Blog,https://www.beehiiv.com/blog/the-state-of-newsletters-2026,2,0,8,2.6
2026-03-10,Beehiiv,The beehiiv Story: Chapter 4,Blog,https://www.beehiiv.com/blog/the-beehiiv-story-chapter-4,0,0,8,1.6
2026-03-10,Beehiiv,The beehiiv Story: Chapter 3,Blog,https://www.beehiiv.com/blog/the-beehiiv-story-chapter-3,0,0,8,1.6
2026-03-10,Beehiiv,beehiiv Talent ⭐️,Blog,https://www.beehiiv.com/blog/beehiiv-talent,0,0,8,1.6
2026-03-10,Beehiiv, 20 Ways to Monetize Your Newsletter,Blog,https://www.beehiiv.com/blog/20-ways-to-monetize-your-newsletter,2,0,8,2.6
2026-03-10,Beehiiv,Milk Road: From 0 to Acquisition in 10 months ,Blog,https://www.beehiiv.com/blog/milk-road-newsletter-acquisition,0,2,8,2.2
2026-03-10,Beehiiv,Stop Landing in Gmail Promotions With These Tested Strategies,Blog,https://www.beehiiv.com/blog/how-to-avoid-gmail-promotions-tab,0,0,8,1.6
2026-03-10,Beehiiv,How To Build a Fanbase: From Followers to True Fans,Blog,https://www.beehiiv.com/blog/how-to-build-a-fanbase,0,2,8,2.2
2026-03-10,Beehiiv,How to Write Email Subject Lines That Actually Get Opened in 2026,Blog,https://www.beehiiv.com/blog/subject-line-optimization,2,2,8,3.2
2026-03-10,Beehiiv,Gated Content Examples: What’s Worked Best in My Campaigns,Blog,https://www.beehiiv.com/blog/gated-content-examples,0,0,8,1.6
2026-03-10,Beehiiv,How To Use beehiiv To Create a Thriving Newsletter Community Hub,Blog,https://www.beehiiv.com/blog/building-an-online-community,2,2,8,3.2
2026-03-10,Beehiiv,How To Get 55% Open Rates Like the Top-Performing Newsletters Do,Blog,https://www.beehiiv.com/blog/how-to-get-55-open-rates-like-the-top-performing-newsletters-do,4,2,8,4.2
2026-03-11,Beehiiv,How To Start a Newsletter for Local Communities,Blog,https://www.beehiiv.com/blog/how-to-start-a-newsletter-for-local-communities,2,2,8,3.2
2026-03-13,Beehiiv,Turn Newsletter Swaps Into Your Best Free Acquisition Channel,Blog,https://www.beehiiv.com/blog/newsletter-swap-examples,2,2,8,3.2
2026-03-15,Beehiiv,10 Predictions That Will Reshape Newsletter Businesses in 2026,Blog,https://www.beehiiv.com/blog/10-predictions-that-will-reshape-newsletter-businesses-in-2026,2,0,8,2.6
